person,group,status,behavior_date,behavior,precision,later_action_date,later_action,notes
Amy Wax,Academic,Present,2021-12-20,Podcast remarks on Asian immigration aired,Day,,,"Went viral Jan 2, 2022; drives the academic jump near day 15"
David Collum,Academic,Present,2020-06-05,Tweets about Buffalo police shoving a protester,±1 day,2020-06-08,Stepped down as director of undergraduate studies,
David Starkey,Academic,Present,2020-06-30,Slavery remarks in podcast interview,Day,2020-07-03,Resigned Cambridge fellowship,
Gordon Klein,Academic,Present,2020-06-02,Replied to student email refusing exam leniency,±1 day,2020-06-03,Placed on leave,Email became public about June 4
Greg Patton,Academic,Present,2020-08-20,Used Mandarin filler word in class,Day,2020-08-25,Removed from course,
Joel Poor,Academic,Present,2020-08-24,Wuhan comment in class,Day,2020-08-24,Relieved of teaching duties,
John McAdams,Academic,Present,2014-11-09,Blog post naming a graduate instructor,Day,,,
Li-Meng Yan,Academic,Present,2020-09-14,Lab-origin preprint released,±1 day,,,
Mark Hecht,Academic,Present,2019-09-07,Op-ed on diversity published,Day,2019-10-23,Field school cancelled,
Michael Rectenwald,Academic,Present,2016-10-24,Revealed identity behind anti-PC Twitter account,Day,2016-10-30,Paid leave reported,
Mike Adams,Academic,Present,2020-05-29,"""Massa Cooper, let my people go"" tweet",Day,2020-06-29,Retirement announced,
Aaron Rodgers,Celebrity,Present,2021-08-26,"Said ""Yeah, I've been immunized""",Day,,,Only 43 tweets in the window; the big spike came with the Nov 3 revelation
Dave Chappelle,Celebrity,Present,2021-10-05,The Closer released on Netflix,Day,,,
Kanye West,Celebrity,Present,2022-10-03,"""White Lives Matter"" shirt at Paris show",Day,2022-10-25,Adidas ended partnership,"""Death con 3"" tweet Oct 8"
Lindsay Ellis,Celebrity,Present,2021-03-26,Raya/Avatar tweet,Day,,,
Travis Scott,Celebrity,Present,2021-11-05,Astroworld crowd crush,Day,,,
Will Smith,Celebrity,Present,2022-03-27,Oscars slap,Day,2022-04-01,Resigned from the Academy,
Justine Sacco,Civilian,Present,2013-12-20,AIDS tweet before flight,Day,2013-12-21,Fired,
BBQ Becky,Civilian,Present,2018-04-29,Called police on Black barbecuers; video posted the same day,Day,,,Nickname spread May 11
Aaron Schlossberg,Civilian,Present,2018-05-15,Rant at restaurant staff,±1 day,,,Video posted within a day
Permit Patty,Civilian,Present,2018-06-23,Called police on child selling water,±1 day,,,
Pool Patrol Paula,Civilian,Present,2018-06-24,Pool incident,±1 day,,,
Rhonda Polon,Civilian,Present,2018-08-04,Coffee-throwing incident,Day,,,Date provided by Zach; tweets using her name start Aug 12
Norman Wang,Academic,Left out,2020-03-24,Journal article criticizing affirmative action published,Day,2020-08-05,Removed as program director (first reports),Only 2 tweets within a month; backlash came in August
Colin Wright,Academic,Left out,2020-02-13,WSJ op-ed arguing sex is binary,Day,,,No tweets within a month
Nicholas Christakis,Academic,Left out,2015-11-05,Courtyard exchange with students over Halloween email,Day,,,No tweets within a month
Tim Hunt,Academic,Left out,2015-06-08,"""Trouble with girls"" remarks",Day,,,No tweets within a month
